cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,materia_seccion,tipo_accion_penal,materia_norm,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,gestion,revisado_manual,columna,valor,orden_columna,rotulo_columna_pdf
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,TOTAL SUCRE,total,7,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_nuevos_demandados,1199,2,INCIDENTES NUEVOS / DEMANDADOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,TOTAL SUCRE,total,7,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,movimiento_registrado_total_incidentes,1379,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,TOTAL SUCRE,total,7,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_resueltos,1152,4,INCIDENTES RESUELTOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,10,tipo_proceso,,TOTAL SUCRE,total,7,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,SUCRE,,,False,,2023,False,incidentes_pendientes_proxima_gestion,227,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,INCREMENTO DE ASISTENCIA FAMILIAR,detalle,8,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_pendientes_iniciar_gestion,168,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,INCREMENTO DE ASISTENCIA FAMILIAR,detalle,8,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_nuevos_demandados,353,2,INCIDENTES NUEVOS / DEMANDADOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,INCREMENTO DE ASISTENCIA FAMILIAR,detalle,8,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,movimiento_registrado_total_incidentes,521,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,INCREMENTO DE ASISTENCIA FAMILIAR,detalle,8,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_resueltos,439,4,INCIDENTES RESUELTOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,INCREMENTO DE ASISTENCIA FAMILIAR,detalle,8,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_pendientes_proxima_gestion,82,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,DENTRO DE UN,DISMINUCIÓN DE ASISTENCIA DE FAMILIA DEMANDAS NUEVAS,detalle,9,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_pendientes_iniciar_gestion,84,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,DENTRO DE UN,DISMINUCIÓN DE ASISTENCIA DE FAMILIA DEMANDAS NUEVAS,detalle,9,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_nuevos_demandados,171,2,INCIDENTES NUEVOS / DEMANDADOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,DENTRO DE UN,DISMINUCIÓN DE ASISTENCIA DE FAMILIA DEMANDAS NUEVAS,detalle,9,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,movimiento_registrado_total_incidentes,255,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,DENTRO DE UN,DISMINUCIÓN DE ASISTENCIA DE FAMILIA DEMANDAS NUEVAS,detalle,9,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_resueltos,172,4,INCIDENTES RESUELTOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,DENTRO DE UN,DISMINUCIÓN DE ASISTENCIA DE FAMILIA DEMANDAS NUEVAS,detalle,9,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_pendientes_proxima_gestion,83,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,10,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_pendientes_iniciar_gestion,87,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,10,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_nuevos_demandados,260,2,INCIDENTES NUEVOS / DEMANDADOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,10,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,movimiento_registrado_total_incidentes,347,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,10,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_resueltos,228,4,INCIDENTES RESUELTOS
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,,CESACIÓN DE LA ASISTENCIA FAMILIAR DENTRO DE UN,detalle,10,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,,2023,False,incidentes_pendientes_proxima_gestion,119,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN
5.1.2.6,232,bf4c27924f,otros,capital,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,16,tipo_proceso,SGTES.,PROCESO ART. 415 Y MODIFICACIÓN DE GUARDA,detalle,11,5,PÚBLICO DE FAMILIA,,PÚBLICO DE FAMILIA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto,LA PAZ,,,False,DEMANDAS NUEVAS DENTRO DE UN PROCESO ART. 415 Y SGTES.,2023,False,incidentes_pendientes_iniciar_gestion,49,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN
