fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
5,4.1.2,110,CHUQUISACA,Zudañez,Zudañez,False,13,col_01,7640,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
6,4.1.2,110,CHUQUISACA,Zudañez,Redención Pampa,False,13,col_01,7805,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
7,4.1.2,110,CHUQUISACA,Tomina,Padillla,False,13,col_01,10212,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
8,4.1.2,110,CHUQUISACA,Tomina,Tomina,False,13,col_01,9006,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
9,4.1.2,110,CHUQUISACA,Tomina,Sopachuy,False,13,col_01,6067,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
10,4.1.2,110,CHUQUISACA,Hernando Siles Monteagudo,,False,13,col_01,25120,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
11,4.1.2,110,CHUQUISACA,Hernando Siles Huacareta,,False,13,col_01,8244,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
12,4.1.2,110,CHUQUISACA,Yamparaez,Tarabuco,False,13,col_01,15342,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
13,4.1.2,110,CHUQUISACA,Nor Cinti,Camargo,False,13,col_01,15522,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
14,4.1.2,110,CHUQUISACA,Nor Cinti,San Lucas,False,13,col_01,31389,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
