pagina_pdf,cuadro_id,titulo,primeras_lineas,tipo,capitulo,variante_etiqueta,seccion,orden_pagina,paginas_del_cuadro,rango_paginas,n_lineas,n_lineas_datos
49,2.1.2.3,CAUSAS / Por: Tipo de Proceso / Según: Movimiento Registrado,ATENDIDAS AL31/12/2023 ¶ AFECTACIÓN 5 1 6 2 4 ¶ CONCILIACION PREVIA 297 2793 3090 2792 298,cuadro,2,Cuadro Nro.,Juzgados Agroambientales,1,1,49,46,36
50,,,,sin_etiqueta,,,,0,0,,0,0
51,,,,sin_etiqueta,,,,0,0,,4,0
52,,,,sin_etiqueta,,,,0,0,,0,0
53,3.1.1.1,CAUSAS / Por: Distrito y Tipo de Procesos / Según: Movimiento Registrado / FORMA DE INGRESO,CONFLICTOS DE COMPETENCIA 2 18 20 18 2 ¶ RESOLUCIONES EN CASOS DE CORTE 0 0 0 0 0 ¶ CONTENCIOSO ADMINISTRATIVO 0 0 0 0 0,cuadro,3,Cuadro Nro.,Salas Plenas de los Tribunales Departamentales de Justicia,1,2,53-54,43,25
54,3.1.1.1,CAUSAS / Por: Distrito y Tipo de Procesos / Según: Movimiento Registrado / FORMA DE INGRESO,CONFLICTOS DE COMPETENCIA 0 57 57 57 0 ¶ RESOLUCIONES EN CASOS DE CORTE 0 0 0 0 0 ¶ CONTENCIOSO ADMINISTRATIVO 0 0 0 0 0,cuadro,3,Cuadro Nro.,Salas Plenas de los Tribunales Departamentales de Justicia,2,2,53-54,43,25
55,3.1.1.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,CONFLICTO DE COMPETENCIA 0 0 0 0 0 0 18 18 ¶ RECUSACIONES EN CASOS DE CORTE 0 0 0 0 0 0 0 0 ¶ CONTENCIOSO ADMINISTRATIVO 0 0 0 0 0 0 0 0,cuadro,3,Cuadro Nro.,Salas Plenas de los Tribunales Departamentales de Justicia,1,2,55-56,42,25
56,3.1.1.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,CONFLICTO DE COMPETENCIA 57 0 0 0 0 0 0 57 ¶ RECUSACIONES EN CASOS DE CORTE 0 0 0 0 0 0 0 0 ¶ CONTENCIOSO ADMINISTRATIVO 0 0 0 0 0 0 0 0,cuadro,3,Cuadro Nro.,Salas Plenas de los Tribunales Departamentales de Justicia,2,2,55-56,42,25
57,3.1.2.1,CAUSAS / Por: Distrito y Tipo de Procesos / Según: Movimiento Registrado / FORMA DE INGRESO,ORDINARIO 25 0 0 0 433 458 414 44 ¶ EXTRAORDINARIO 1 0 0 0 36 37 36 1 ¶ ESTRUCTURA MONITORIA 3 0 0 0 238 241 231 10,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,1,3,57-59,52,32
58,3.1.2.1,CAUSAS / Por: Distrito y Tipo de Procesos / Según: Movimiento Registrado / FORMA DE INGRESO,ORDINARIO 292 0 0 0 136 428 117 311 ¶ EXTRAORDINARIO 38 0 0 0 16 54 37 17 ¶ ESTRUCTURA MONITORIA 119 0 0 0 90 209 47 162,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,2,3,57-59,52,32
59,3.1.2.1,CAUSAS / Por: Distrito y Tipo de Procesos / Según: Movimiento Registrado / FORMA DE INGRESO,ORDINARIO 36 0 0 0 31 67 44 23 ¶ EXTRAORDINARIO 14 0 0 0 4 18 3 15 ¶ ESTRUCTURA MONITORIA 33 0 0 0 39 72 31 41,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,3,3,57-59,34,16
60,3.1.2.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,ORDINARIO 370 16 0 0 0 0 28 414 ¶ EXTRAORDINARIO 33 0 0 0 0 0 3 36 ¶ ESTRUCTURA MONITORIA 224 0 0 0 0 0 7 231,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,1,3,60-62,48,32
61,3.1.2.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,ORDINARIO 93 5 0 0 0 4 15 117 ¶ EXTRAORDINARIO 35 0 0 0 0 1 1 37 ¶ ESTRUCTURA MONITORIA 40 0 0 0 0 3 4 47,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,2,3,60-62,48,32
62,3.1.2.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,ORDINARIO 40 4 0 0 0 0 0 44 ¶ EXTRAORDINARIO 3 0 0 0 0 0 0 3 ¶ ESTRUCTURA MONITORIA 30 1 0 0 0 0 0 31,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,3,3,60-62,30,16
63,3.1.2.3,RECURSOS RECIBIDOS / Por: Distritos / Según: Tipo de Proceso / COMPULSAS,SUCRE 2 98 0 0 0 0 0 0 98 ¶ LA PAZ 5 169 0 0 0 5 0 0 174 ¶ COCHABAMBA 2 31 1 0 0 1 0 2 35,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,1,1,63,26,10
64,3.1.2.4,RECURSOS RECIBIDOS / Por: Distritos / Según: Forma de Finalización de Competencia / TOTAL DE RECURSOS RECURSOS,SUCRE 2 124 4 66 0 12 4 3 89 ¶ LA PAZ 5 194 11 110 6 23 14 7 171 ¶ COCHABAMBA 2 36 2 25 1 3 4 1 36,cuadro,3,Cuadro Nro.,Salas en Materia Civil de los Tribunales Departamentales de Justicia,1,1,64,25,10
65,3.1.3.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO TOTAL DE CAUSAS,INCIDENTES EN GENERAL 89 0 395 484 365 119 ¶ MEDIDAS CAUTELARES 0 0 472 472 472 0 ¶ APELACIONES RESTRINGIDAS 107 0 185 292 232 60,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,1,3,65-67,48,32
66,3.1.3.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO TOTAL DE CAUSAS,INCIDENTES EN GENERAL 20 1 342 363 338 25 ¶ MEDIDAS CAUTELARES 9 0 776 785 782 3 ¶ APELACIONES RESTRINGIDAS 327 0 261 588 258 330,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,2,3,65-67,48,32
