firma,cuadros,paginas,n_paginas,pagina_referencia,n_columnas,columna,encabezado_pdf,titulo_pagina
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,3,RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS DE SALAS A JUZGADOS / CONFIRMADAS TOTALMENTE,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,4,RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS DE SALAS A JUZGADOS / CONFIRMADAS PARCIALMENTE,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,5,RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS DE SALAS A JUZGADOS / REVOCADAS TOTALMENTE,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,6,RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS DE SALAS A JUZGADOS / REVOCADAS PARCIALMENTE,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,7,RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS DE SALAS A JUZGADOS / ANULATORIO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,8,RECURSOS DE APELACIÓN EN EFECTO DEVOLUTIVO DEVUELTOS DE SALAS A JUZGADOS / REPOSITORIO,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,9,TOTAL DE / CAUSAS / APELADAS / DEVUELTAS EN / LA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
a43f9ae7cd,"5.1.2.4,6.1.2.4",210-488,21,210,10,10,TOTAL DE CAUSAS / APELADAS / PENDIENTES,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
49b0b86040,"5.1.2.5,6.1.2.5",221-498,21,221,5,1,PENDIENTES AL INICIO / DE GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
49b0b86040,"5.1.2.5,6.1.2.5",221-498,21,221,5,2,INGRESADAS EN LA / GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
