cuadro_origen,pagina_pdf,departamento,columna,fragmentos_encabezado
4.1.8,116,SANTA CRUZ,col_06,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCI PENAL Trabajo de Trabajo"
4.1.8,116,SANTA CRUZ,col_07,JUZGADO PÚBLICO MIXTO DE SENTENCIA PENAL y SS
4.1.8,116,SANTA CRUZ,col_08,TRIBUNALES JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCI PENAL
4.1.8,116,SANTA CRUZ,col_09,CONCILIADORES DE JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL
4.1.8,116,SANTA CRUZ,col_10,JUZGADO JUZGADO PARTIDO MIXTO
4.1.8,116,SANTA CRUZ,col_11,PROVINCIAS JUZGADO DE SENTENCIA
4.1.8,116,SANTA CRUZ,col_12,JUZGADO DE PARTIDO DEL TRABAJO SS E INSTRUCCI PENAL
4.1.8,116,SANTA CRUZ,col_13,TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS
4.1.8,116,SANTA CRUZ,col_14,TRIBUNA DE SENTENC IA
4.1.8,116,SANTA CRUZ,col_15,EJECUCIÓ PENAL
4.1.8,116,SANTA CRUZ,col_16,CONCILIA DOR
4.1.8,116,SANTA CRUZ,col_17,JUZGADO AGROAMBI ENTAL
4.1.8,116,SANTA CRUZ,col_18,TOTAL ES
4.1.9,117,BENI,col_01,TRIBUNALES Y POBLACIÓN PROYECTADA AL 2022
4.1.9,117,BENI,col_02,BENI: CONCILIADORES JUZGADO DE INSTRUCCI PENAL
4.1.9,117,BENI,col_03,NÚMERO JUZGADO DE INSTRUCCI CONTRA LA VIOLENCIA
4.1.9,117,BENI,col_04,"JUZGADOS, JUZGADO PÚBLICO CIVIL COMERCIAL"
4.1.9,117,BENI,col_05,TRIBUNALES JUZGADO PÚBLICO MIXTO
4.1.9,117,BENI,col_06,JUZGADO PÚBLICO MIXTO INSTRUCCI PENAL
4.1.9,117,BENI,col_07,TIPO JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCI PENAL
4.1.9,117,BENI,col_08,CONCILIADORES JUZGADO JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL
4.1.9,117,BENI,col_09,EN JUZGADO DE SENTENCI A
4.1.9,117,BENI,col_10,"PROVINCIAS JUZGADO SENTENCIA, PUBLICO, TRABAJO JUEZ TÉCNICO"
